Team A,Team B,Last 3,Last 2,Last 1,Olympics Domination,World Cup Domination,FIH Pro League Domination,H2H A,H2H B,H2H Draw,Team A Rank,Team B Rank,Win Percent A,Win Percent B,Draw Percent,Team A BP,Team B BP
Belarus,South Africa,-,-,South Africa,Draw,Belarus,Draw,0,1,0,35,14,0.26,0.5,0.24,Mikhail Stefanovich,Jethro Eustice
Belarus,Spain,-,-,Spain,Draw,Belarus,Draw,0,1,0,35,8,0.06,0.71,0.22999999999999998,Mikhail Stefanovich,Álvaro Iglesias
Belarus,United States,-,-,-,-,-,-,-,-,-,35,24,0.23,0.36,0.41000000000000003,Mikhail Stefanovich,Ajai Dhadwal
Belarus,Wales,-,-,-,-,-,-,-,-,-,35,18,0.2,0.42,0.38000000000000006,Mikhail Stefanovich,Lewis Prosser
Belgium,Brazil,-,-,Belgium,Belgium,Draw,Draw,1,0,0,2,32,0.04,0.0,0.96,Tom Boon,Yuri van der Heijden
Belgium,Canada,Belgium,Belgium,Belgium,Belgium,Belgium,Draw,4,0,0,2,19,0.7,0.05,0.25000000000000006,Tom Boon,Taylor Curran
Belgium,Chile,-,-,-,-,-,-,-,-,-,2,22,0.68,0.11,0.20999999999999996,Tom Boon,Martín Rodríguez
Belgium,China,-,-,Belgium,Belgium,Draw,Draw,1,0,0,2,23,0.7,0.1,0.20000000000000004,Tom Boon,Chongong Chen
Belgium,Cuba,-,-,-,-,-,-,-,-,-,2,38,0.72,0.09,0.19000000000000003,Tom Boon,Carlos Consuegra
Belgium,Egypt,-,-,-,-,-,-,-,-,-,2,17,0.7,0.1,0.20000000000000004,Tom Boon,Amr Sayed
Belgium,England,Belgium,Draw,Belgium,Draw,Draw,Belgium,2,1,1,2,6,0.68,0.09,0.22999999999999995,Tom Boon,David Condon
Belgium,France,-,Belgium,Belgium,Draw,Draw,Belgium,2,0,0,2,9,0.64,0.14,0.21999999999999997,Tom Boon,Viktor Lockwood
Belgium,Germany,Draw,Draw,Germany,Germany,Draw,Belgium,8,7,5,2,3,0.44,0.32,0.24000000000000005,Tom Boon,Björn Michel
Belgium,Great Britain,Belgium,Great Britain,Belgium,Belgium,Draw,Belgium,6,1,1,2,6,0.57,0.2,0.23000000000000004,Tom Boon,Alan Forsyth
Belgium,India,Belgium,Belgium,India,Belgium,Draw,Belgium,7,3,2,2,4,0.45,0.32,0.23000000000000004,Tom Boon,Harmanpreet Singh
Belgium,Ireland,-,-,-,-,-,-,-,-,-,2,12,0.69,0.11,0.20000000000000007,Tom Boon,Shane O'Donoghue
Belgium,Japan,-,-,Belgium,Draw,Belgium,Draw,1,0,0,2,16,0.39,0.01,0.6,Tom Boon,Koji Yamasaki
Belgium,Kenya,-,-,-,-,-,-,-,-,-,2,70,0.67,0.12,0.20999999999999996,Tom Boon,Wakhura Constant
Belgium,Korea,Korea,Belgium,Belgium,Draw,Draw,Draw,2,2,0,2,11,0.34,0.41,0.24999999999999994,Tom Boon,Jang Jong-hyun
Belgium,Malaysia,-,-,Belgium,Draw,Belgium,Draw,1,0,0,2,13,0.47,0.05,0.48000000000000004,Tom Boon,Razie Rahim
Belgium,Netherlands,Netherlands,Netherlands,Draw,Belgium,Belgium,Netherlands,3,9,4,2,1,0.17,0.59,0.24,Tom Boon,Jeroen Hertzberger
Belgium,New Zealand,Belgium,Belgium,Belgium,New Zealand,Draw,Belgium,6,4,2,2,10,0.5,0.26,0.24,Tom Boon,Kane Russell
Belgium,Pakistan,Pakistan,Pakistan,Belgium,Pakistan,Draw,Draw,1,2,0,2,15,0.33,0.43,0.23999999999999994,Tom Boon,Muhammad Umar Bhutta
Belgium,Poland,-,-,Belgium,Draw,Belgium,Draw,1,0,0,2,28,0.56,0.19,0.24999999999999994,Tom Boon,Mikołaj Gumny
Belgium,Russia,-,-,-,-,-,-,-,-,-,2,25,0.47,0.28,0.25,Tom Boon,Loginov Iaroslav
Belgium,South Africa,Belgium,Belgium,Belgium,Belgium,Belgium,Belgium,4,2,1,2,14,0.53,0.17,0.29999999999999993,Tom Boon,Jethro Eustice
Belgium,Spain,Belgium,Belgium,Belgium,Belgium,Draw,Belgium,11,2,3,2,8,0.58,0.17,0.25,Tom Boon,Álvaro Iglesias
Belgium,United States,-,-,-,-,-,-,-,-,-,2,24,0.72,0.09,0.19000000000000003,Tom Boon,Ajai Dhadwal
Belgium,Wales,-,-,-,-,-,-,-,-,-,2,18,0.69,0.11,0.20000000000000007,Tom Boon,Lewis Prosser
Brazil,Canada,-,-,-,-,-,-,-,-,-,32,19,0.06,0.6,0.33999999999999997,Yuri van der Heijden,Taylor Curran
Brazil,Chile,-,-,-,-,-,-,-,-,-,32,22,0.07,0.52,0.4099999999999999,Yuri van der Heijden,Martín Rodríguez
Brazil,China,-,-,-,-,-,-,-,-,-,32,23,0.05,0.64,0.30999999999999994,Yuri van der Heijden,Chongong Chen
Brazil,Cuba,-,-,-,-,-,-,-,-,-,32,38,0.08,0.46,0.46,Yuri van der Heijden,Carlos Consuegra
Brazil,Egypt,-,-,-,-,-,-,-,-,-,32,17,0.07,0.49,0.43999999999999995,Yuri van der Heijden,Amr Sayed
Brazil,England,-,-,-,-,-,-,-,-,-,32,6,0.03,0.77,0.19999999999999996,Yuri van der Heijden,David Condon
Brazil,France,-,-,-,-,-,-,-,-,-,32,9,0.04,0.73,0.22999999999999998,Yuri van der Heijden,Viktor Lockwood
Brazil,Germany,-,-,-,-,-,-,-,-,-,32,3,0.02,0.82,0.16000000000000003,Yuri van der Heijden,Björn Michel
Brazil,Great Britain,-,-,Great Britain,Great Britain,Draw,Draw,0,1,0,32,6,0.0,0.2,0.8,Yuri van der Heijden,Alan Forsyth
Brazil,India,-,-,-,-,-,-,-,-,-,32,4,0.02,0.82,0.16000000000000003,Yuri van der Heijden,Harmanpreet Singh
Brazil,Ireland,-,-,-,-,-,-,-,-,-,32,12,0.07,0.52,0.4099999999999999,Yuri van der Heijden,Shane O'Donoghue
Brazil,Japan,-,-,-,-,-,-,-,-,-,32,16,0.04,0.7,0.26,Yuri van der Heijden,Koji Yamasaki
Brazil,Kenya,-,-,-,-,-,-,-,-,-,32,70,0.07,0.55,0.3799999999999999,Yuri van der Heijden,Wakhura Constant
Brazil,Korea,-,-,-,-,-,-,-,-,-,32,11,0.03,0.78,0.18999999999999995,Yuri van der Heijden,Jang Jong-hyun
Brazil,Malaysia,-,-,-,-,-,-,-,-,-,32,13,0.04,0.69,0.27,Yuri van der Heijden,Razie Rahim
Brazil,Netherlands,-,-,-,-,-,-,-,-,-,32,1,0.01,0.84,0.15000000000000002,Yuri van der Heijden,Jeroen Hertzberger
Brazil,New Zealand,-,-,New Zealand,New Zealand,Draw,Draw,0,1,0,32,10,0.0,0.19,0.81,Yuri van der Heijden,Kane Russell
Brazil,Pakistan,-,-,-,-,-,-,-,-,-,32,15,0.02,0.81,0.16999999999999993,Yuri van der Heijden,Muhammad Umar Bhutta
Brazil,Poland,-,-,-,-,-,-,-,-,-,32,28,0.03,0.75,0.21999999999999997,Yuri van der Heijden,Mikołaj Gumny
Brazil,Russia,-,-,-,-,-,-,-,-,-,32,25,0.03,0.79,0.17999999999999994,Yuri van der Heijden,Loginov Iaroslav
Brazil,South Africa,-,-,-,-,-,-,-,-,-,32,14,0.04,0.72,0.24,Yuri van der Heijden,Jethro Eustice
Brazil,Spain,-,-,Spain,Spain,Draw,Draw,0,1,0,32,8,0.0,0.42,0.5800000000000001,Yuri van der Heijden,Álvaro Iglesias
Brazil,United States,-,-,-,-,-,-,-,-,-,32,24,0.08,0.46,0.46,Yuri van der Heijden,Ajai Dhadwal
Brazil,Wales,-,-,-,-,-,-,-,-,-,32,18,0.07,0.52,0.4099999999999999,Yuri van der Heijden,Lewis Prosser
Canada,Chile,-,-,-,-,-,-,-,-,-,19,22,0.4,0.29,0.31,Taylor Curran,Martín Rodríguez
Canada,China,-,-,-,-,-,-,-,-,-,19,23,0.33,0.38,0.2899999999999999,Taylor Curran,Chongong Chen
Canada,Cuba,-,-,-,-,-,-,-,-,-,19,38,0.43,0.25,0.32000000000000006,Taylor Curran,Carlos Consuegra
Canada,Egypt,-,-,-,-,-,-,-,-,-,19,17,0.42,0.26,0.32000000000000006,Taylor Curran,Amr Sayed
Canada,England,-,-,England,Draw,Canada,Draw,0,1,0,19,6,0.0,0.81,0.18999999999999995,Taylor Curran,David Condon
Canada,France,-,-,-,-,-,-,-,-,-,19,9,0.26,0.48,0.26,Taylor Curran,Viktor Lockwood
Canada,Germany,Germany,Germany,Germany,Germany,Canada,Draw,0,6,0,19,3,0.04,0.67,0.2899999999999999,Taylor Curran,Björn Michel
Canada,Great Britain,Draw,Draw,Great Britain,Great Britain,Draw,Draw,0,3,2,19,6,0.13,0.65,0.21999999999999997,Taylor Curran,Alan Forsyth
Canada,India,India,Draw,India,India,Canada,Draw,0,4,1,19,4,0.08,0.72,0.20000000000000007,Taylor Curran,Harmanpreet Singh
Canada,Ireland,Canada,Draw,Ireland,Ireland,Canada,Draw,1,1,1,19,12,0.44,0.31,0.25000000000000006,Taylor Curran,Shane O'Donoghue
Canada,Japan,-,-,-,-,-,-,-,-,-,19,16,0.28,0.45,0.26999999999999996,Taylor Curran,Koji Yamasaki
Canada,Kenya,Kenya,Kenya,Canada,Kenya,Draw,Draw,1,2,0,19,70,0.38,0.37,0.25,Taylor Curran,Wakhura Constant
Canada,Korea,-,Draw,Korea,Draw,Canada,Draw,0,1,1,19,11,0.06,0.6,0.33999999999999997,Taylor Curran,Jang Jong-hyun
Canada,Malaysia,Malaysia,Canada,Draw,Draw,Draw,Draw,1,1,1,19,13,0.28,0.29,0.43,Taylor Curran,Razie Rahim
Canada,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands,Canada,Draw,0,8,0,19,1,0.04,0.67,0.2899999999999999,Taylor Curran,Jeroen Hertzberger
Canada,New Zealand,-,Draw,New Zealand,Draw,Canada,Draw,0,1,1,19,10,0.29,0.47,0.24,Taylor Curran,Kane Russell
Canada,Pakistan,Draw,Pakistan,Canada,Pakistan,Draw,Draw,1,3,1,19,15,0.15,0.63,0.21999999999999997,Taylor Curran,Muhammad Umar Bhutta
Canada,Poland,-,-,Canada,Canada,Draw,Draw,1,0,0,19,28,0.51,0.25,0.24,Taylor Curran,Mikołaj Gumny
Canada,Russia,-,-,Draw,Draw,Draw,Draw,0,0,1,19,25,0.0,0.0,1.0,Taylor Curran,Loginov Iaroslav
Canada,South Africa,Canada,Draw,Draw,Canada,Draw,Draw,1,0,2,19,14,0.43,0.29,0.2800000000000001,Taylor Curran,Jethro Eustice
Canada,Spain,Spain,Spain,Spain,Spain,Canada,Draw,0,3,0,19,8,0.0,0.81,0.18999999999999995,Taylor Curran,Álvaro Iglesias
Canada,United States,-,-,-,-,-,-,-,-,-,19,24,0.43,0.24,0.33000000000000007,Taylor Curran,Ajai Dhadwal
Canada,Wales,-,-,-,-,-,-,-,-,-,19,18,0.4,0.29,0.31,Taylor Curran,Lewis Prosser
Chile,China,-,-,-,-,-,-,-,-,-,22,23,0.27,0.43,0.3,Martín Rodríguez,Chongong Chen
Chile,Cuba,-,-,-,-,-,-,-,-,-,22,38,0.36,0.28,0.36,Martín Rodríguez,Carlos Consuegra
Chile,Egypt,-,-,-,-,-,-,-,-,-,22,17,0.35,0.3,0.35000000000000003,Martín Rodríguez,Amr Sayed
Chile,England,-,-,-,-,-,-,-,-,-,22,6,0.18,0.58,0.2400000000000001,Martín Rodríguez,David Condon
Chile,France,-,-,France,Draw,Chile,Draw,0,1,0,22,9,0.15,0.57,0.28,Martín Rodríguez,Viktor Lockwood
Chile,Germany,-,-,-,-,-,-,-,-,-,22,3,0.13,0.65,0.21999999999999997,Martín Rodríguez,Björn Michel
Chile,Great Britain,-,-,-,-,-,-,-,-,-,22,6,0.16,0.61,0.22999999999999998,Martín Rodríguez,Alan Forsyth
Chile,India,-,-,-,-,-,-,-,-,-,22,4,0.14,0.65,0.20999999999999996,Martín Rodríguez,Harmanpreet Singh
Chile,Ireland,-,-,-,-,-,-,-,-,-,22,12,0.34,0.33,0.3299999999999999,Martín Rodríguez,Shane O'Donoghue
Chile,Japan,-,-,-,-,-,-,-,-,-,22,16,0.23,0.49,0.28,Martín Rodríguez,Koji Yamasaki
Chile,Kenya,-,-,-,-,-,-,-,-,-,22,70,0.32,0.35,0.32999999999999996,Martín Rodríguez,Wakhura Constant
Chile,Korea,-,-,-,-,-,-,-,-,-,22,11,0.18,0.58,0.2400000000000001,Martín Rodríguez,Jang Jong-hyun
Chile,Malaysia,-,-,Malaysia,Draw,Chile,Draw,0,1,0,22,13,0.26,0.51,0.22999999999999998,Martín Rodríguez,Razie Rahim
Chile,Netherlands,-,-,Netherlands,Draw,Chile,Draw,0,1,0,22,1,0.0,0.02,0.98,Martín Rodríguez,Jeroen Hertzberger
Chile,New Zealand,-,-,New Zealand,Draw,Chile,Draw,0,1,0,22,10,0.1,0.7,0.20000000000000007,Martín Rodríguez,Kane Russell
Chile,Pakistan,-,-,-,-,-,-,-,-,-,22,15,0.15,0.63,0.21999999999999997,Martín Rodríguez,Muhammad Umar Bhutta
Chile,Poland,-,-,-,-,-,-,-,-,-,22,28,0.2,0.55,0.25,Martín Rodríguez,Mikołaj Gumny
Chile,Russia,-,-,-,-,-,-,-,-,-,22,25,0.17,0.6,0.22999999999999998,Martín Rodríguez,Loginov Iaroslav
Chile,South Africa,-,-,-,-,-,-,-,-,-,22,14,0.22,0.51,0.27,Martín Rodríguez,Jethro Eustice
Chile,Spain,-,-,-,-,-,-,-,-,-,22,8,0.17,0.59,0.24,Martín Rodríguez,Álvaro Iglesias
Chile,United States,-,-,-,-,-,-,-,-,-,22,24,0.37,0.28,0.35,Martín Rodríguez,Ajai Dhadwal
Chile,Wales,-,-,-,-,-,-,-,-,-,22,18,0.34,0.33,0.3299999999999999,Martín Rodríguez,Lewis Prosser
China,Cuba,-,-,-,-,-,-,-,-,-,23,38,0.47,0.23,0.30000000000000004,Chongong Chen,Carlos Consuegra
China,Egypt,-,-,-,-,-,-,-,-,-,23,17,0.45,0.24,0.31000000000000005,Chongong Chen,Amr Sayed
China,England,-,-,Draw,Draw,Draw,Draw,0,0,1,23,6,0.38,0.38,0.24,Chongong Chen,David Condon
China,France,-,-,France,Draw,China,Draw,0,1,0,23,9,0.0,0.59,0.41000000000000003,Chongong Chen,Viktor Lockwood
China,Germany,-,-,Germany,Germany,Draw,Draw,0,1,0,23,3,0.06,0.71,0.22999999999999998,Chongong Chen,Björn Michel
China,Great Britain,-,-,-,-,-,-,-,-,-,23,6,0.23,0.53,0.24,Chongong Chen,Alan Forsyth
China,India,-,-,-,-,-,-,-,-,-,23,4,0.2,0.58,0.22000000000000008,Chongong Chen,Harmanpreet Singh
China,Ireland,-,-,Draw,Draw,Draw,Draw,0,0,1,23,12,0.31,0.35,0.33999999999999997,Chongong Chen,Shane O'Donoghue
China,Japan,-,-,-,-,-,-,-,-,-,23,16,0.31,0.42,0.26999999999999996,Chongong Chen,Koji Yamasaki
China,Kenya,-,-,-,-,-,-,-,-,-,23,70,0.42,0.28,0.30000000000000004,Chongong Chen,Wakhura Constant
China,Korea,-,-,Korea,Korea,Draw,Draw,0,1,0,23,11,0.09,0.54,0.37,Chongong Chen,Jang Jong-hyun
China,Malaysia,-,-,-,-,-,-,-,-,-,23,13,0.32,0.41,0.26999999999999996,Chongong Chen,Razie Rahim
China,Netherlands,-,-,-,-,-,-,-,-,-,23,1,0.16,0.62,0.21999999999999997,Chongong Chen,Jeroen Hertzberger
China,New Zealand,-,-,Draw,Draw,Draw,Draw,0,0,1,23,10,0.35,0.41,0.24000000000000005,Chongong Chen,Kane Russell
China,Pakistan,-,-,-,-,-,-,-,-,-,23,15,0.22,0.55,0.22999999999999998,Chongong Chen,Muhammad Umar Bhutta
China,Poland,-,-,-,-,-,-,-,-,-,23,28,0.27,0.48,0.25,Chongong Chen,Mikołaj Gumny
China,Russia,-,-,-,-,-,-,-,-,-,23,25,0.24,0.52,0.24,Chongong Chen,Loginov Iaroslav
